List 1,List 2,List 1|List 2
KCNV1,ILF3-AS1,
DEFA5,RPL14,
DEFB1,ADPGK,
SPAG11B,C15orf26,
CTHRC1,CYP2B7P1,
PRKACG,DENND5B,
MAMDC2,CAV2,
CPA6,ABCB9,
TRPV6,RP11-305L7.1,
FIGF,RILPL2,
WNK2,PYCR2,
NLGN4Y,ZNF718,
FAT3,BSCL2,
GPR101,SFXN1,
FOLR2,RP11-317J10.2,
KBTBD6,ANGEL1,
OXGR1,ZNF775,
UCMA,FARP2,
ENOX2,HSBP1L1,
RNASE7,TRAV19,
VWA2,RRP15,
PRAP1,EFCAB4A,
KCNC2,SAAL1,
GPR176,BRI3BP,
JAM3,RP11-461A8.4,
SVOP,SF3B2,
OPN1MW2,RP11-256L6.2,
SCN3B,SLC2A14,
SMPD1,RP11-252K23.2,
ILK,STOML1,
OR10A5,IRAK1BP1,
SERPINB7,MSH6,
MFAP4,CLN5,
CLEC3A,RP5-821D11.7,
SERPINB12,RP11-433A23.1,
B2M,GLRX5,
CATSPER2,TMEM110,
GPR182,YTHDC2,
CACNG2,ASCC2,
TAC3,ZNF683,
PDIA3,HSD17B1P1,
BPIFB6,DDX17,
ISLR2,MED31,
CD3D,LARP1,
OR51E2,RGP1,
LPO,C20orf96,
KLHL26,TMEM189,
LALBA,NSMF,
TUBA1A,SEC14L3,
LAIR1,SRP72,
LY6D,AASS,
TMIGD2,AL049840.1,
SEMA6B,DCLRE1B,
GGT6,HSBP1,
KLK11,TIGD1L2,
KLK13,PXK,
ABCA3,NCL,
SLC3A2,KLF11,
PNOC,RPTOR,
KCNJ4,PRKRIP1,
VASN,ANKRD26,
KCNV2,SDHC,
KCNG4,RP11-539L10.2,
SCGB1D1,AC009961.3,
COL3A1,OMA1,
GDNF,BAIAP3,
OR13J1,B3GAT1,
SFTPB,LRRFIP1,
ENHO,ODF3B,
JMJD7-PLA2G4B,MAP1LC3B,
SIGLEC7,TMEM101,
KLK7,NT5C,
RSPO1,FAM149A,
CXCL11,CLEC6A,
NR0B1,KDM3B,
IL1RAPL1,REV1,
COL22A1,TMEM218,
SDC2,SLC35C1,
OR4K15,LPP,
HTRA4,CTC-462L7.1,
GPR183,RP11-597D13.9,
GJB1,APMAP,
VPREB1,AC020956.1,
BUB1,SC5DL,
GP9,OSBPL1A,
NLGN1,PPP2R1B,
MUC17,NPRL3,
WNT10B,DCBLD2,
TM4SF1,TBCE,
TAS1R3,RP11-307E17.8,
NLGN2,CNTNAP2,
GPR37L1,RP11-296I10.6,
GPR25,KIAA1967,
GYPA,FAM83G,
CRTAP,TBCB,
CNGB3,GSDMD,
CST1,2-Mar,
SEMA3E,MZF1,
KCNS3,DNAJC18,
GPR37,TOMM40L,
HTRA3,RP11-554A11.9,
TRH,LINC00852,
OR7G2,CHAF1A,
OR1M1,TMEM158,
OR8B12,HKR1,
PLAC1,GGACT,
KCNG3,CTD-2561J22.4,
PROL1,BASP1,
SMR3B,LFNG,
NETO2,NSL1,
CSN3,USPL1,
LRG1,OSGIN2,
CLCN5,POP5,
KCND3,CYYR1,
APLN,GRWD1,
SPACA5B,LRRC57,
SPACA5,HES6,
OR1L8,SASH1,
NMUR1,KRTCAP3,
GPR82,ETS2,
GPR34,ESD,
DEFB4A,ZNHIT3,
ANGPTL7,CTB-31N19.3,
IFNB1,ZNF669,
AQP4,BYSL,
REG3A,MRVI1-AS1,
REG1B,VPS37B,
OR1A1,PRRG4,
GPR22,ZNF200,
AZU1,STRCP1,
PRSS27,IRF3,
INSL5,CLIC4,
MUCL1,CTD-2368P22.1,
KLHL6,FOXJ2,
MOS,ERCC1,
OR4D9,CDCA7L,
COL6A5,C9orf91,
CES4A,KRT8P46,
CES3,CTD-2248H3.1,
MRGPRF,RP11-115C21.2,
MRGPRD,C7orf43,
RXFP4,ATP6V1C1,
LRRN3,PMS1,
GPR151,LIN52,
MMRN2,CSE1L,
GPR148,ZNF124,
NDNF,POC1B,
OLR1,SOS1,
GLIPR1L1,TMEM171,
DAG1,EXOSC8,
RNASE8,RP11-73M18.8,
AGR3,ZNF573,
PEAK1,ST3GAL6,
TNFRSF10D,MAGI2-AS3,
CSPG4,WTAP,
XCR1,SERPINH1,
GPRC6A,PTCHD3P1,
TAS1R1,ICA1L,
MUC13,U2AF1,
WFIKKN2,TRIM16L,
CD7,MZT2A,
KLHL15,SGCE,
TLR10,RP11-175P19.2,
TLR6,SSH3,
SLC6A19,TSFM,
ATP2A2,PAFAH2,
IL20RB,GNA12,
LEP,ZMYND12,
FGFBP3,RP11-298I3.1,
FZD4,UHRF1BP1L,
BTC,AC011816.1,
GPR171,PCNXL4,
GPR149,CROCC,
ZG16,MFSD5,
PDIK1L,ATPIF1,
CATSPER1,IER3,
CST6,FLT1P1,
OR10P1,ZDHHC17,
DPP10,RP1-179N16.6,
CLCF1,IGHV4-39,
GPR152,DLEU1,
NR2F1,ZNF121,
SFN,KRT17P2,
TSPEAR,RP11-566E18.3,
KLHL38,PIK3R3,
OR4K17,RP11-429J17.2,
OR4K5,FXYD7,
TAC4,ZNF205-AS1,
OR4F17,RP11-44F14.4,
DEFB104A,PVT1,
DEFB103A,NEFH,
FIBIN,ZNF331,
DEFB104B,CEP85,
IFNW1,RRN3P2,
DEFB103B,APEH,
KCNA2,TBC1D16,
GPR4,FCRLB,
OR2B11,MYBL2,
CD163,ABCF2,
CD163L1,IQCH-AS1,
DEFB114,DBNL,
OR4F4,MYO1D,
PVRL3,CEP170B,
GPR150,PRDX6,
TSSK6,JMJD4,
SPINK6,CKM,
VN1R1,GLIPR1L2,
SPAG11A,NUP133,
KCNG2,RP11-33B1.1,
TUBAL3,RAB33B,
UCN3,TP53INP1,
AMBN,TBC1D9,
OTOS,SPSB1,
GP5,ACAT1,
CPN2,ARL6IP1,
LGALS7B,RBPJ,
ALOXE3,BAIAP2,
DAND5,ITFG3,
VWA1,EXT1,
FJX1,EIF3G,
KLHL28,RMDN3,
ALOX12B,SH3RF1,
SLITRK4,ITM2C,
ALOX15B,COX14,
CDH5,EPHX4,
MRGPRX4,SAR1A,
MRGPRX3,PP13439,
ABCA13,GLCE,
GPR139,RP11-423H2.1,
OR10K2,TBRG4,
SHISA2,SERINC1,
OR51E1,CTB-114C7.4,
DEFB112,SLC25A1,
GPR62,REEP5,
HEPHL1,CLMN,
CCL13,DSCC1,
FDCSP,TGFBRAP1,
GPR135,USP15,
GPR88,AC007278.2,
OR8H3,PRMT7,
GPR3,EOGT,
OR5AS1,GHITM,
OR4C16,PROCA1,
OR4A16,RP11-380M21.4,
ENPP7,RAB3IL1,
P2RY8,TRAV38-1,
MRGPRG,TCL1B,
HIST2H4B,RP11-290F20.3,
ATP6AP2,USP22,
KCNA4,SLC24A5,
KCNJ14,TBC1D30,
CACNB4,LRRIQ3,
OTOL1,STXBP4,
KCNK4,RRBP1,
BGN,RGL1,
HIST1H3I,MOSPD3,
NXPH3,ZNF391,
OR2V2,PIAS1,
RXFP3,MAD1L1,
GALR2,CDRT4,
RESP18,CHMP6,
IGIP,ME2,
GRID1,KB-431C1.4,
OR2T29,UST,
GPIHBP1,CRIP2,
GGTLC3,RP11-37E23.5,
GAS6,TAF2,
FREM3,TMEM194B,
GABRR3,RP1-140A9.1,
OR2T34,ZNF23,
PMCH,HHLA3,
GPR132,VAMP3,
HIST2H3D,LINC00189,
KLHL25,ZNF33B,
GPR1,PLEC,
MRGPRX2,RMND1,
TUBA8,RP1-8B1.4,
EMILIN3,TBC1D8,
OLFML1,PALM,
GPR39,INVS,
CNGA2,FIBP,
ARSI,INO80C,
LRRC55,MUTYH,
SDR42E2,TSPAN31,
HIST2H4A,MESP1,
KCNH8,COX20,
NPB,ZNF816,
TMPRSS2,SIGIRR,
OR2T10,MRS2,
CNTN2,AGPAT9,
LRTOMT,ENTPD2,
OR1D2,RP11-70C1.1,
GPR173,NAA60,
KCNK12,NDUFC2,
DEFB108B,GCHFR,
GDF3,WDR90,
MRGPRE,AF001548.6,
CCR10,RPUSD3,
C1QTNF8,AQP10,
PROS1,ARL17B,
APOO,SNAPC4,
SDR42E1,YWHAB,
CLCNKB,VWA5A,
MUC6,RPP25L,
FLRT2,KIAA1143,
PPIL6,SDHAP1,
CDNF,CTD-2616J11.4,
NOTUM,REPIN1,
KLHL33,RP1-228P16.1,
SFTPA2,ECHDC1,
ROR1,RP4-614O4.12,
PDE6G,RPL31,
NR2F2,CEP68,
OLFML2A,SECISBP2,
NTF3,MST1L,
LYG2,USP35,
IFIT1,ZFP37,
EVI2B,SNRPD2,
RTN4RL1,SUSD4,
OR4F5,SLC31A1,
BPIFB3,PHIP,
BPIFB4,NDUFA3,
KLHL32,DOK7,
BTLA,SLC35B4,
THBS2,RP11-293A21.1,
CYP4X1,PSMG4,
KLK12,YPEL3,
DEFB105A,APBB2,
DEFB107A,RP11-678G14.2,
DEFB106A,ZNF329,
DEFB105B,GIMAP6,
TPCN1,RP11-358M11.2,
QRFPR,RP11-705C15.3,
SERPINA11,SOCS2,
P2RY4,BROX,
ZACN,TUBBP9,
EMID1,RP11-49I11.1,
DEFB106B,FTH1,
SBK2,XRCC3,
ISG15,RP11-697E2.7,
AMTN,AC013437.6,
KBTBD12,AGAP1,
GABRD,MAPRE2,
TMEM256-PLSCR3,INTS6,
DMBT1,NPTXR,
OVCH1,DNAJB5,
COL14A1,RP11-686D22.4,
KLHL17,DOK6,
C17orf99,GS1-124K5.4,
COL4A5,SLC35B3,
OTOG,MTMR6,
IGFL1,ZNF324,
GPR21,SERINC3,
LCTL,DENND1A,
IGFL3,HORMAD1,
VWC2,VPS8,
CATSPER4,SCAND2P,
NYX,AC018720.10,
LIPI,PCMT1,
CGB5,CTC-459F4.3,
APOD,SNIP1,
IL1RAPL2,SH3PXD2B,
CXCL17,FLNB,
VN1R2,TMEM109,
FAT4,AKR1C7P,
STK40,C16orf88,
CGB7,FOPNL,
NLGN3,SEPT11,
PIK3R4,TAPT1,
OR2T3,RP11-127L20.6,
SLC22A25,NOL12,
CLPSL2,ING1,
POTEI,MEF2C,
PATE2,C17orf103,
SLC6A17,CTD-2516F10.2,
ADAM32,MS4A4A,
HIST1H3J,NLRP1,
OR1J2,JAKMIP1,
HIST1H4J,PCBP1-AS1,
CCL4L2,AZI2,
GUCA2A,SUSD2,
DIO3,CCDC130,
PDGFA,LAMP5,
SPN,CTD-3064M3.3,
GALP,ZKSCAN5,
GZMM,AIMP2,
COL4A6,RAB15,
MFAP5,TIGD5,
SERPINB13,CTD-2054N24.2,
SLC22A24,GAS1,
OR51C1P,RP5-1157M23.2,
OR52M1,MXI1,
OCLN,C8orf58,
HIST4H4,EP400NL,
PRB3,LIMS2,
HIST1H4K,ZDHHC13,
AADACL2,GTPBP8,
KEL,RP11-539L10.3,
TUBA3C,PYHIN1,
DEFB107B,DMWD,
BPIFA1,TAGLN2,
CACNA1E,CAMTA1,
CNGA1,EIF2S2,
HIST1H4L,ZHX2,
LRRTM3,MTPAP,
EGFL6,ACSS1,
MUC2,DPF2,
C9orf96,BCKDK,
L1CAM,TUBBP5,
RORB,EPM2A,
GP1BB,SNAPC1,
OR2T5,RP11-261C10.7,
RAET1G,WDR45B,
GPR52,RP11-486O12.2,
HIST2H3C,UNC119B,
HIST1H3H,IGHV2-70,
PNLIPRP3,AVL9,
HIST2H3A,GNB5,
DEFB110,C1orf112,
LRIT2,TRABD2A,
NPY4R,NINL,
SYT15,ZMYM1,
COL5A2,FGD6,
COL15A1,TMEM220,
NMS,NCF1C,
OR2H2,FAM153A,
MAS1L,MBLAC1,
OR2H1,PRDM15,
OR11A1,EFHA1,
OR14J1,NRN1,
GPR20,KLHL42,
SPINK9,MESDC1,
C11orf83,RP11-552F3.9,
LGALS7,ZBTB20-AS1,
CDKL4,PTGR2,
LGR4,CRYL1,
PSMB10,RP11-428G5.5,
HTN3,DFNB31,
SERPINB11,TRBV6-7,
SERPINB4,EMC1,
SERPINB5,SLC35A4,
RNASE13,LINC00402,
COL6A6,RP11-119F19.2,
IGKC,AP000346.2,
IGKV4-1,SLC7A9,
IGKV5-2,PNPO,
IGKV2-40,IFFO2,
IGKV1D-42,TRIP11,
IGLV4-69,PKNOX1,
IGLV1-51,ST8SIA4,
IGLV7-46,ZNF189,
IGLV5-45,TMEM127,
IGLV1-44,RAB4B,
IGLV7-43,SNAI3-AS1,
IGLV1-40,RBP7,
IGLV1-36,RP4-584D14.7,
IGLV3-27,FCHO1,
IGLV3-25,BCL10,
IGLV2-23,GTF2H2B,
IGLV3-22,PMM1,
IGLV2-18,AC017076.5,
IGLV3-16,CPPED1,
IGLV2-11,TATDN3,
IGLV4-3,RP11-728F11.4,
IGLC3,GPR124,
IGLC7,RP11-6N17.4,
TRAV8-4,RP3-455J7.4,
IGHA2,INPP1,
IGHG4,CHD1L,
IGHG2,ZMYND15,
IGHD,PEX11A,
IGHM,SGCA,
IGHV1-2,METTL8,
IGHV3-23,ZMAT2,
IGHV1-46,RP11-169D4.2,
IGHV7-81,ITPRIPL1,
KLK9,RNF207,
CGB8,WDFY1,
KLHL23,RAB6A,
NOTCH2NL,RP11-521C20.4,
GPC2,SLFN13,
CCL14,SBF2,
HEXA,ALDOC,
GANC,ZNF480,
NPS,TRIM73,
DEFB113,POMT1,
GPR33,AVIL,
MSMP,ZNF317,
KCNU1,EFHD2,
DEFB116,MCM7,
DEFB115,SLC35D1,
CKLF,OR52B3P,
OR1C1,FAM86DP,
IGKV3D-15,FAM22A,
C17orf72,TP53TG1,
GPX5,CTDNEP1,
IFNA14,PPP1R14A,
PRB4,RFPL3S,
PRH1,OPA1,
PSG1,AP001469.9,
MTRNR2L4,PLCD1,
IFNA17,RGS10,
TAAR9,KIF5B,
PATE4,ZNF575,
IGKV3-20,HAX1,
C1QTNF9,ZBTB49,
IGKV1D-16,C21orf7,
IGKV3-11,AKAP13,
CORT,CCT6A,
KIR3DL3,MYEF2,
PSG2,CLEC4A,
BGLAP,ZBTB40,
IGKV1-39,C19orf44,
IGKV3-7,NUP50,
IGKV2-30,DOCK7,
IGKV2D-29,GLDC,
EFNA4,TONSL,
IGKV1-5,GCM1,
LEFTY1,SRP54,
IGKV3-15,ISL2,
MTRNR2L5,DMXL2,
GYPB,AP2M1,
SEPP1,NOP58,
IGKV2D-40,AL591845.1,
IGKV1D-39,DOCK5,
SERPINE3,SARM1,
IGLL5,TMEM206,
OR52B2,PHF19,
MTRNR2L8,TRBV11-1,
MTRNR2L10,TMOD1,
MTRNR2L3,AP1M2,
ASIC5,FRA10AC1,
MTRNR2L1,KB-431C1.3,
MTRNR2L7,ATP1A1OS,
RNASE4,UBOX5,
GAN,TCEA3,
,CLEC1A,
,C9orf3,
,TBC1D15,
,CTC-774J1.2,
,PANX2,
,EML6,
,INIP,
,SLC14A1,
,RP11-360F5.3,
,TSEN54,
,ZFAND1,
,ATP13A4,
,MEPCE,
,MCCC1,
,RAB2B,
,RP11-120K18.3,
,DHCR24,
,AC008074.3,
,NPDC1,
,STX6,
,HERC6,
,KIAA1324L,
,FAM109B,
,DENND6B,
,TMEM200A,
,GOT2,
,L3HYPDH,
,WRN,
,BAX,
,OAF,
,RPH3AL,
,CDKAL1,
,ZNF276,
,ABTB2,
,DHX57,
,CTA-963H5.5,
,MT1E,
,CLN8,
,ANO9,
,FAM160B1,
,NCOA7,
,CEP95,
,CCDC122,
,GLRX,
,AC009005.2,
,ZNRD1,
,RP11-169K16.9,
,NCAPD3,
,RP11-834C11.4,
,MLH1,
,RP11-704M14.1,
,GOLT1B,
,CDC123,
,AMIGO1,
,RP3-407E4.4,
,SLC39A1,
,ZCCHC7,
,MKI67IP,
,FAM65B,
,RMDN1,
,RRP8,
,TRIB2,
,NCKIPSD,
,HCG4,
,SLC31A2,
,PIGQ,
,PRKAB2,
,CLDN15,
,SNX1,
,XPO6,
,GS1-410F4.3,
,MED28,
,TMEM30A,
,LSM4,
,INO80B,
,ZNF707,
,ZDHHC5,
,TMPRSS3,
,B3GALNT1,
,SPPL2A,
,PANK2,
,TMEM87B,
,NLRC4,
,NSUN5P2,
,RP11-118B22.4,
,NTN5,
,GOLPH3,
,SCIMP,
,GPSM1,
,FNIP2,
,GTF3C3,
,TMEM229B,
,AC022182.3,
,UBE2G2,
,KIAA2018,
,ENTPD3-AS1,
,TMEM44,
,ZNF34,
,RP11-529E10.6,
,LINC00243,
,PPL,
,ZNF543,
,RP11-493L12.6,
,CCDC102A,
,EBNA1BP2,
,CTD-3023J11.2,
,TRBV9,
,TRIM8,
,AC016753.7,
,NFYA,
,RP11-723O4.9,
,AC004951.5,
,LINC00665,
,AC093495.4,
,SSH1,
,LYRM5,
,RP1-283E3.4,
,KCNAB2,
,GTF2I,
,RP11-15H20.5,
,PAFAH1B2,
,CCDC66,
,GNG7,
,TUBGCP4,
,TMEM92,
,NIPA2,
,DOK4,
,AC103965.1,
,RAC2,
,ELP5,
,METTL5,
,ANKLE2,
,PLEKHD1,
,ZKSCAN1,
,HLA-DOA,
,TRBV5-1,
,PCSK4,
,RP11-139H15.1,
,PGAM1,
,ZBED5,
,CTD-2006K23.1,
,RP11-398F12.1,
,MLK4,
,DEPDC7,
,RNF187,
,C1orf109,
,OGFOD1,
,LYNX1,
,NOL9,
,ELOVL4,
,CARS2,
,CCDC109B,
,CTC-241F20.3,
,ATP5S,
,PHACTR1,
,ADAM1A,
,TRBV5-5,
,RP3-467K16.4,
,GNA13,
,SLC2A9,
,CTD-2357A8.3,
,HCG22,
,MCEE,
,CD200R1L,
,PUS10,
,CCT6P1,
,ZNF25,
,HLA-S,
,GALM,
,AGPS,
,RPS18,
,CRBN,
,LPGAT1,
,RP1-283E3.8,
,FBXO31,
,TOX2,
,SMTNL1,
,RP11-38G5.2,
,ZFPM1,
,C3orf17,
,SH3PXD2A,
,ARHGEF3,
,TMX3,
,GAS6-AS1,
,SH3TC1,
,MAL,
,C16orf80,
,ZNF584,
,DLK2,
,FAM212B,
,RP11-290F20.1,
,QRICH1,
,TCF25,
,ZNF217,
,RP11-105C19.2,
,WDR86-AS1,
,SARDH,
,CCHCR1,
,NUFIP2,
,FARP1,
,SAC3D1,
,RP11-447M12.2,
,EPRS,
,NOA1,
,RP11-973H7.1,
,TRIM36,
,TIGD7,
,BNC2,
,RP3-370M22.8,
,CEACAM22P,
,KCTD7,
,CENPBD1,
,RP11-384P7.7,
,TTC9,
,ZNF525,
,CTSO,
,NFRKB,
,ZNF35,
,HEATR2,
,SIRT4,
,POLR2D,
,VAV2,
,HECW2,
,VOPP1,
,DHTKD1,
,MRPL10,
,ZNF654,
,RPL13A,
,SPATA13,
,SFMBT2,
,EIF4EBP2,
,MAGOH2,
,RP11-797A18.6,
,RP11-514P8.2,
,ATXN10,
,HTT-AS1,
,EDEM3,
,AC093726.6,
,PPP1R15A,
,ATG7,
,OSBPL2,
,CLIC3,
,S100Z,
,ANO5,
,FLOT1,
,ANXA2R,
,PITPNC1,
,CATSPER2P1,
,MED29,
,KNDC1,
,WHAMM,
,RP11-923I11.1,
,TM6SF1,
,LOXL1-AS1,
,RP11-439L8.4,
,PTAR1,
,COQ2,
,LRRC45,
,DPP3,
,LRGUK,
,TRIM64B,
,MED23,
,WASH3P,
,DDB2,
,LYPLAL1,
,ZBTB48,
,SUCLA2,
,RP11-325F22.2,
,SCARB2,
,COQ7,
,TBX19,
,SLC25A3,
,TRAPPC2L,
,RPGRIP1,
,RP11-930O11.2,
,BIN2,
,MFF,
,ACTR10,
,TRAV1-1,
,BET1,
,OR2A9P,
,TOP3B,
,RP11-661A12.9,
,ZNF767,
,RP11-445H22.3,
,RNF44,
,PMM2,
,SYNGR3,
,KIAA0232,
,C1orf122,
,KIAA1524,
,DIP2B,
,KIF26A,
,PAM16,
,AC092653.5,
,ZDHHC14,
,PAPSS2,
,GTF2A2,
,DAPP1,
,MFHAS1,
,NOXA1,
,STRA13,
,SLC8A1,
,DNM1P46,
,OAS3,
,VTA1,
,OSGIN1,
,LINC00116,
,ZNF80,
,NHP2L1,
,LRRC27,
,DIXDC1,
,C14orf2,
,LL22NC03-86G7.1,
,NME6,
,JAGN1,
,TMC6,
,C16orf74,
,BCAT2,
,GPATCH1,
,CHRAC1,
,BAG4,
,SLC9A3R1,
,RNASEL,
,ZNF708,
,PYROXD1,
,MS4A7,
,RP11-798G7.6,
,FAH,
,CUL7,
,PET100,
,TARBP1,
,SP140,
,PLEKHB1,
,TRBV6-1,
,HERPUD2,
,RHOU,
,NUDT14,
,RP1-102E24.8,
,IGHV3-53,
,NKG7,
,FAM63B,
,CPNE3,
,RP11-228B15.4,
,TMC8,
,AC011747.4,
,EXPH5,
,WAC,
,RP11-552M11.8,
,ZDHHC20,
,XAB2,
,PGM2L1,
,PELI3,
,PLEKHF2,
,DOCK9-AS2,
,GBP5,
,MAN1A2,
,KIF27,
,HOXA9,
,RP11-815M8.1,
,NDUFA7,
,EBF4,
,ATP6V1G2,
,CTD-2196E14.9,
,PDSS2,
,URB1,
,SEMA5A,
,INADL,
,LY6G5B,
,ATRIP,
,CAPN11,
,ACAT2,
,C1RL-AS1,
,ZNF330,
,PLEKHG5,
,DTD1,
,IFI27,
,FASTKD3,
,PPP1R9A,
,KB-1507C5.2,
,RP11-105C19.1,
,HRSP12,
,FCF1P2,
,ARHGAP11A,
,GTF2H2,
,TSTD3,
,WSB1,
,RP11-45M22.1,
,IGKV1D-12,
,RP11-936I5.1,
,NOMO3,
,POU5F1P6,
,TBL2,
,MORN4,
,LMF1,
,DIRAS1,
,PMS2P5,
,ZNF746,
,HOOK1,
,RP3-477M7.5,
,OAT,
,GXYLT1,
,LINC00511,
,TRIM60P18,
,CTD-2517M22.14,
,STAM2,
,URM1,
,JOSD1,
,PAQR4,
,ARID5A,
,PDCD6,
,POGZ,
,KDM4B,
,B3GNT3,
,LAMTOR4,
,TMEM252,
,RSL24D1,
,RP11-122G18.5,
,NIPA1,
,ZNF142,
,TSPYL5,
,RIC8A,
,INCENP,
,TMEM170B,
,RP3-393E18.2,
,GAL3ST4,
,RAB44,
,TBC1D2,
,C5orf22,
,C3orf14,
,GLS,
,RP11-430B1.2,
,HERPUD1,
,POLR3B,
,CDC34,
,GPER,
,SIN3B,
,ELOF1,
,GTPBP10,
,DNAH6,
,IFITM5,
,DET1,
,ARRDC1,
,CTD-2003C8.1,
,SOLH,
,MMP24-AS1,
,LRP10,
,LINGO4,
,ZBTB38,
,SH3BGRL2,
,TMEM173,
,DGCR6L,
,MTMR9LP,
,TRAV35,
,POM121C,
,CABLES2,
,AKR7A2,
,GGA2,
,UNC50,
,SQSTM1,
,CNTROB,
,LYPD6B,
,RSG1,
,ANKIB1,
,SDF4,
,PSTK,
,FRMD3,
,BCKDHA,
,ATP5D,
,CMTM3,
,RP11-497H16.2,
,GLTPD1,
,AC034220.3,
,MAX,
,DYNLL2,
,SMU1,
,PUS7L,
,TREX1,
,AC005682.5,
,GNA11,
,GIPC3,
,NYNRIN,
,KCTD12,
,HNRNPAB,
,RP11-107F6.3,
,HIST1H2BF,
,EMC9,
,PAG1,
,USP8,
,AIG1,
,LAMTOR5,
,CSDA,
,AC007390.5,
,ZNF880,
,SNRPB,
,PLXNB2,
,ZBTB47,
,SNHG15,
,AC009495.2,
,C1orf123,
,SLC24A6,
,AC011899.9,
,TRGJP2,
,NIPAL3,
,FOXQ1,
,C9orf123,
,TTC26,
,RASGRP4,
,ALPK2,
,AC062017.1,
,SPDYE2L,
,RP11-492E3.1,
,TEN1-CDK3,
,RP11-267N12.3,
,CDRT15,
,RP11-23J18.1,
,NIPAL1,
,TFB1M,
,MLLT11,
,RP4-647C14.2,
,TRGV2,
,YWHAZ,
,IGLV6-57,
,CTNNBIP1,
,PHACTR4,
,RP11-876N24.1,
,ZNF701,
,MRPL50,
,ZNF74,
,TTC9C,
,RPIA,
,ARRB1,
,HOXA-AS2,
,RP4-798A10.2,
,FBXO3,
,RNF114,
,FAIM,
,GRHL1,
,NFKBIZ,
,IGKV2-29,
,SLC2A3,
,AP001610.5,
,CDCA4,
,C7orf49,
,SRSF3,
,TNIP1,
,TVP23B,
,PKIB,
,ZFAS1,
,MDM1,
,DUSP23,
,THEM6,
,SUZ12P,
,LSM14A,
,ADARB1,
,LMBRD2,
,RBP5,
,C9orf64,
,CCDC92,
,CYCSP34,
,FAM89B,
,SETDB2,
,RBAK,
,CAPN3,
,MRPL23-AS1,
,DNAJC13,
,RP11-599J14.2,
,STOM,
,KCNAB1,
,IP6K2,
,HOXA5,
,DNAI2,
,ATXN7L3B,
,RP11-177C12.1,
,ZNF501,
,KIAA1024,
,CMTM7,
,FIG4,
,COG4,
,AGTRAP,
,POLDIP2,
,EPPK1,
,ADAP1,
,C19orf66,
,KLHDC8B,
,CLSTN3,
,AC006129.4,
,FNBP1L,
,RP1-68D18.4,
,MFSD7,
,CRYGN,
,ZNF281,
,HLA-J,
,RP11-319J24.3,
,ZGPAT,
,ADO,
,FAM177A1,
,AMZ2,
,TAGAP,
,RP13-270P17.2,
,SH3BP1,
,PIGL,
,HHEX,
,DIP2C,
,SLC26A6,
,LINC00467,
,SMARCAD1,
,SPATA7,
,DDAH2,
,PRDX1,
,RP11-25K19.1,
,SLC25A41,
,TRAM2,
,RCC1,
,COPZ2,
,GAS7,
,RP5-901A4.1,
,PCMTD1,
,RTN4IP1,
,TMEM163,
,RP11-832A4.5,
,CKB,
,OCIAD1,
,BBS10,
,CLOCK,
,PDXDC2P,
,RASA4DP,
,SRGAP2,
,RP13-977J11.2,
,HSD17B8,
,ZNF248,
,RP3-414A15.2,
,ASPSCR1,
,CAPRIN2,
,C5orf17,
,POM121B,
,CAMKMT,
,CCDC13,
,NFIB,
,PROSER2,
,EIF5A,
,RP11-436I9.6,
,CLEC18C,
,TSEN15,
,MAN2A2,
,CTB-61M7.2,
,ACOT1,
,PSME4,
,TRIM44,
,SDR39U1,
,C1orf134,
,PHF10,
,C1orf198,
,PPM1H,
,AC078883.3,
,DENND4B,
,AC007228.11,
,PRX,
,NAALADL1,
,SLC41A1,
,CCDC28A,
,PCGF2,
,ARRDC2,
,PRPSAP2,
,CTD-2196E14.4,
,ASLP1,
,CMC1,
,NUDT1,
,CTD-3092A11.2,
,AC079767.4,
,CATSPERB,
,FAM21FP,
,ANKRD20A11P,
,TM2D2,
,POMGNT1,
,MFSD1,
,CCDC94,
,DNHD1,
,NBPF1,
,LZTS1,
,ARAP2,
,B3GNT5,
,TMEM183A,
,ZNF737,
,GET4,
,CCDC149,
,FAM183B,
,RFX7,
,TRAPPC6A,
,CPNE2,
,PIDD,
,ITFG2,
,ALKBH1,
,LL22NC03-2H8.4,
,NAP1L4,
,LRP5L,
,CAMSAP2,
,AK1,
,ECH1,
,SIGLEC16,
,PSMG3-AS1,
,SERTAD1,
,LRRC3DN,
,TRBV7-4,
,TNRC6A,
,ZFAND3,
,HMGXB3,
,PACS1,
,ERO1LB,
,A2M-AS1,
,NOM1,
,GEMIN4,
,APTX,
,PCBP3,
,HBS1L,
,C6orf48,
,AC006538.1,
,CCDC50,
,RABGEF1,
,RAPGEF3,
,DIDO1,
,EIF3CL,
,RP11-349A22.5,
,MYO7B,
,RP11-629O1.2,
,TRPT1,
,LY6E,
,TRAM1,
,MYO10,
,PRR5L,
,RP11-261P9.4,
,IRS1,
,HEG1,
,ITPRIPL2,
,KAT8,
,FAM173A,
,NFKBIE,
,ARL8B,
,ZNF720,
,ZCWPW1,
,EIF4B,
,snoU13,
,TCL1A,
,TRIM9,
,SLBP,
,FAM179A,
,TTC25,
,SLC35F2,
,CCDC159,
,ZNF528,
,ZNF76,
,RP11-686D22.8,
,ACOT13,
,RP11-1220K2.2,
,RP3-430N8.8,
,KIAA1328,
,TARSL2,
,SERF2,
,FAM13A-AS1,
,ATP5SL,
