List 1,List 2,List 1|List 2
PAK6,KANSL1-AS1,CISD1
SLC28A2,TMEM91,ATF1
CYP19A1,RP1-153P14.8,PDE1B
CLCA2,PTTG1IP,DNPEP
LHCGR,CCDC163P,NCOA3
CYP2C9,ASAH1,F13A1
CYP2C8,TFG,CDKN1A
KIF11,FAM120B,GLO1
AOX1,AP002954.4,TGM3
MSTN,HCLS1,CAPNS1
CHRNA1,RCCD1,NR1D1
FGF2,RP11-378A13.1,TRAP1
BMPR1B,WDR41,PTPN12
PDE5A,CTD-2017D11.1,MCHR1
BMP2K,SAYSD1,APOBEC3A
CDKL2,NMRAL1,DUT
GSTCD,RP11-678G14.3,PLD2
PPP3CA,KIAA1737,IDO1
MTTP,IQCB1,PTPRA
SLCO1C1,NELFCD,CASP9
MAP3K12,NUDT18,LARS
SSTR1,MSH2,PTPN22
IGF1R,GPRC5C,ERCC5
CYP11A1,LIG3,P2RX4
CYP1A1,FCER1G,SMPD2
CYP1A2,FLYWCH1,NEK3
NTRK3,GATM,TXN
SLC5A2,IRX3,TLR4
MYLK3,PADI6,ENPP2
ABCC12,CRAT,GGH
CHST4,BLVRA,NEK1
PDPK1,PNKD,KHK
TP53,RP1-153P14.5,ATIC
PIP4K2B,CCDC77,PPIG
ERBB2,RP11-18H21.1,SENP7
PNMT,EMR1,NAAA
SOD1,TREML5P,VAMP1
SIK1,C10orf11,MBTPS1
SLC6A3,RP11-81H14.2,IMPA2
EPHA2,REEP1,IGFBP4
PLK4,GABPB1-AS1,SIRT3
CYP4B1,KIAA1841,CARM1
GPA33,ANXA6,MAP3K6
RXRG,SEC31B,PPOX
PVRL4,FRAT2,MCL1
NR1I3,TMOD2,NCEH1
ABL2,NT5M,SCD5
RORC,PSPHP1,SNCA
PIP5K1A,SHKBP1,PAM
PSEN2,RP11-534L20.5,FARS2
EPHX1,CTD-2353F22.1,IGFBP3
REN,RP11-745O10.2,ST14
GPR17,MIAT,QDPR
SCN1A,HLA-DQB2,AKR1C2
TRPM8,GOLGB1,PDK1
SLC22A14,TDRD9,CAMK4
NR1I2,C8orf40,RASGRP3
AGTR1,CLEC18A,GGPS1
EPHA5,AMFR,ADAMTS1
GC,SAPCD2,AZIN1
CCNA2,VASP,ADK
TSLP,ADCK2,KCNMA1
IL9,ZFYVE19,HKDC1
GABRA6,ZFP57,CPT2
GABRB2,B4GALT4,SLC5A11
GLRA1,MUC20,HLCS
PLA2G7,SIRPB2,RGS12
CYP39A1,ADSS,PDE9A
TAAR1,RPL28,LSS
SLC22A3,BRD7,S100B
EGFR,RALBP1,SLC1A7
TLK2,PITRM1,CTRC
CCNB3,C2orf43,VCAM1
HDAC8,N4BP1,NLRP3
CHST7,XKR3,OXER1
EBP,N4BP2,ADCK3
HTR2C,AC091729.9,TKT
GPC3,RP11-707O23.5,HPGD
IFNA5,OR7D2,PGGT1B
NTRK2,AASDH,F2RL1
UGCG,ARHGAP27,CASP3
NOTCH1,ELP3,FBP1
CACNA1B,AP3B1,VCP
CAMK2G,MRPL54,STK32C
HTR7,ARG1,CASP7
CYP17A1,CTC-338M12.3,WEE1
ADAM12,NUDT7,TK2
DRD2,GNAI3,ANPEP
HTR3B,TAF1B,STAT6
SLC22A8,NUP85,NOD2
CHEK1,ACER3,DPEP2
SLC22A9,XRN2,ENGASE
MMP3,RPA1,CTNNB1
ITGB1,ASNS,ATG4B
FCGR1A,LINC00680,BMP1
ADRA2A,CDO1,AXIN2
CACNA1C,GCNT2,CSNK1G1
THRB,SLC35F3,BRD3
MAT1A,CTSL1,YWHAG
FER,ANK3,USP47
DRD3,RP11-605F22.2,DCLK2
EDNRA,FMN1,FPR2
NR3C2,IFNG-AS1,FPR1
PIGF,SLC45A4,LPAR3
GABRA2,FBXO28,C3AR1
PDE3B,EIF5,TPSAB1
GRIA4,C11orf75,HPSE
GRM1,DEF6,CTSF
SCN3A,RP11-304F15.3,CMKLR1
CLCA3P,RP11-334C17.5,LPL
CACNA2D1,C9orf72,RPS6KB2
CHST9,DSE,SPHK1
TNIK,IMMP2L,RNPEP
CDK19,DPY19L1,DPP7
SLC16A1,SMPD4P1,MAN1B1
GRIA1,NDUFA10,JUN
NAT2,VARS2,MPI
UGT2B4,SPATC1L,FUCA1
MMP16,ETV7,KCNE1
SLC28A1,EFHB,EHMT1
FGF18,MYH11,BACE2
MAPK13,POLI,FES
MS4A1,SYNJ2,CCR3
PHKG2,CCM2,UPP1
SST,SLC20A1,TXNRD2
GHRL,TCP1,LPAR5
SLC6A1,RP11-98I9.4,DGAT1
HTR5A,STEAP3,FFAR4
MMP14,ANAPC4,CLCN1
DHRS4,ZNF100,SBK1
CACNA1D,NAGPA,PTPN1
KIT,CTD-2587M2.1,PLCG2
CCNB2,ADCY10P1,GFPT1
DYRK1A,C21orf2,RYR2
BRAF,PPP1CB,STK39
SLC34A2,SPAG7,CALM1
XDH,DFNA5,CDC42BPB
SLC13A3,TTF2,LIPN
GART,SRR,BMPR2
SV2A,KIAA0040,CPT1B
ALDH4A1,RP11-10A14.5,APOBEC3G
ACE,PLCH2,AMY2B
TNFRSF13C,FOXRED2,PPIL3
ABCG1,MED4,MIF
HIPK4,WDYHV1,PLA2G4B
BRSK1,MLH3,HCAR3
TAOK1,TECPR1,M6PR
SIK3,SYS1,IL32
CXCR5,PRKCDBP,CD9
IL6R,LIPT1,FAS
CHRNB2,C19orf12,RNASET2
FDPS,LINC00649,GRN
PTH1R,PNPLA7,TIMP2
FGFR4,AC118278.1,AGA
CYP3A4,LRRC14,CDH1
CYP3A7,COPB1,TG
CYP11B1,DYNC1LI1,ADAM28
PTGER1,FAM76B,ADAMTS6
GRIN2C,C14orf132,DKK3
ITGA5,C11orf21,GALC
SSTR5,CLIP3,ITIH4
PRKAA2,SF3A1,NUCB2
JAK1,MAP6D1,WDR1
DHRS3,TRAPPC12,ST6GAL1
DDR2,DPYSL4,SEMA3C
TGFA,CTD-3110H11.1,PLOD1
GABRG1,ZNF429,B4GALT1
GABRB1,AC013264.2,EPDR1
HIPK1,MRPS9,GNAS
CCKAR,CARKD,EDEM2
ATP1A1,DEGS1,SIRPG
HDAC11,SDHDP6,OAS1
PRKCI,BLVRB,CHGB
FABP1,TSPAN3,COL9A3
CTLA4,LOXHD1,PCSK5
ICOS,SNHG9,MAST3
DCLK3,CITED4,GGT1
GRIK3,PLCL1,MFNG
METAP1,SSU72,PIK3IP1
MST1R,RMI2,HMOX1
NPY5R,C21orf128,PDGFB
HTR4,AS3MT,PLTP
CSF2,DIRC2,SIRPB1
GRIK2,UBASH3A,BPI
STK17A,SULF2,CST3
STEAP1,TRBV30,ACP5
SHH,RP5-1021I20.1,CRISPLD2
ADCY1,DND1P1,METRN
PHKG1,TMEM79,IL21R
GPER1,ZNF215,CPQ
CA3,GNB1L,FCGRT
CDK5,ENDOG,AMH
ABCA1,CREB5,AEBP1
ATP7A,SLC25A24,PTGDS
MELK,MYO15B,ABCA2
TSHR,MRPS7,SPOCK2
RET,XRCC6BP1,EFTUD2
CYP2C19,ELP2,STIM2
AVPR1A,FAM200B,BST1
GABRB3,RP11-460N20.5,IL10RA
MC4R,ST7L,SELPLG
HTR3A,MRPL18,WNT5B
NNMT,BTN2A1,CD83
PPIB,SESTD1,LY86
PLK1,TENM4,POMC
UGT1A6,KAZN,IL1RL1
IGF2,C7orf25,IL18R1
MMP26,RHNO1,IL18RAP
VKORC1,DNASE2,PLEK
AXL,RDH13,LEPR
PSCA,BCL2L13,CD48
DAPK3,AMT,PLBD1
EEF2,RP11-274B21.4,CRY2
TRPV3,SAMD3,CD244
TK1,VPS28,LY9
CYP7A1,ETFA,TNFAIP6
SOST,CPED1,C4BPA
SLC22A11,TMC4,C4BPB
MAP4K2,DNAJB6,TREM1
HIST1H1E,CDH23,SSR1
SCN11A,HTATIP2,CD93
BDKRB2,PPP2R4,BMP2
MTNR1A,CYB5R2,PZP
FNTA,ERMAP,WFIKKN1
CHRM1,ZNF333,RNASE1
STAT3,IREB2,PVRL2
ADAM9,HMGN1,PXDN
CA7,KHNYN,LILRB2
HTR1E,KLRC3,NDFIP1
GRM5,DR1,CHSY1
MAP2K1,PPFIA1,EMILIN2
AR,NARG2,MATN2
DHRSX,RPS15A,CHI3L1
PCSK9,TC2N,C1QTNF6
IL13,MED16,SFTPD
CA5B,PFN2,IL15RA
ADRB2,HEBP2,KLRC1
PTK2,AGAP7,ACP2
PTAFR,ADCY9,ANXA1
NPR1,MSRB2,CD36
KCNK9,DOC2GP,CD164
DRD5,SLC24A4,AOAH
LINGO1,DIEXF,FGFBP2
TACR3,HRK,THBS1
ADRA1B,ZFP82,FBN2
CDK1,RP3-465N24.5,TAPBPL
KRT8,RP11-137H2.4,CBLN3
FSHR,SERTAD3,FBLN5
CEACAM3,RALGPS1,MFGE8
S1PR1,CLEC4E,FURIN
ALK,TMTC4,ITGAX
INSR,ZNF132,GALNS
PRKCE,TP53I3,KSR1
GRIK1,DARS,COL6A1
UGT2B7,RAB38,MMEL1
KCNK3,ZNF213,CD53
CHST11,TMEM45B,FCRL5
KRT19,LINC00324,PDIA6
PDE7B,FGD2,SUMF1
NAT1,NCAPD2,ITGA9
PPID,LXN,CORIN
BCL2L1,RP4-564F22.5,PDGFC
FGG,MCTP1,PCYOX1L
FGA,GBAP1,GSN
FGB,RAD21,ADM
PIK3CD,POC5,SERPING1
HDAC3,MON1B,PTPRJ
PAH,RP11-499P20.2,SIDT2
BCL2,TCTEX1D2,GPM6A
RRM2,MTFR1,CD226
ADRA1D,EIF6,ITPR1
CYP4F11,AP006621.1,PRSS53
LAMB2,PHOSPHO2,CCDC3
SMN1,RPL13,ITIH2
CCL11,GATAD2A,MR1
PDE3A,C1GALT1,CD96
CYP7B1,MVB12B,CD8A
RARG,ECHDC3,ENPP3
CES2,RCBTB1,ITGAD
EGFL7,AC011893.3,NRG1
DHCR7,UPB1,KCNJ15
SLC22A13,CASQ1,TNFRSF14
ADH6,ZNF467,HIST1H4H
ADRBK1,DDX12P,CPAMD8
ESRRA,CNOT6,NR2F6
ADCY5,FIGNL1,TFF3
CYSLTR1,TSPAN32,MPZL3
VEGFB,MX1,AMICA1
CCR9,AP000350.4,PCSK7
SULT1B1,EML4,FCRL3
UGT2A1,MRPL53,COL26A1
SLC19A1,TRGV4,CXCL16
GSTA3,CDC42EP1,TNFSF13
