id	logFC	AveExpr	t	P.Value	adj.P.Val	B
PDK2	-1.20346276066647	7.27361794202899	-21.4805772321598	2.19245129184287e-69	8.48322046279488e-67	147.374194057214
ANKH	-0.786128935513112	8.18412862801932	-21.3519174790214	8.14570946239845e-69	3.07850987147528e-66	146.068470264804
GCNT2	-1.17766701094534	6.00842201449275	-21.2521134112931	2.25532969416692e-68	8.32985519543332e-66	145.055308734299
MEP1B	-3.71279525550752	6.39020842753623	-21.248778970251	2.33339518153969e-68	8.42666779893366e-66	145.021455134561
SEPHS2	-0.673627853388172	9.96894300483092	-21.2390777365948	2.57623108096664e-68	9.10137636886714e-66	144.922959939901
AMACR	-1.35825238768823	7.63444848067633	-21.067293865373	1.48758758914363e-67	5.14357147046238e-65	143.178534186833
SFXN1	-0.715063178680976	8.39237830193237	-21.0644657673744	1.53116237736057e-67	5.18394162385138e-65	143.149810615255
EIF4EBP2	-0.720307142498607	10.0368337584541	-21.0552307166408	1.68254373678478e-67	5.50775892931325e-65	143.056013814283
DPP10	-1.55747539347462	4.80273485990338	-21.0545318707492	1.69459077266422e-67	5.50775892931325e-65	143.048915846024
S100P	1.73650216034578	10.5813784082126	20.9590594226412	4.49154261299323e-67	1.43121684321084e-64	142.079150198382
PAQR5	-1.41935496256274	7.05239091545894	-20.9459560436831	5.13454263843802e-67	1.60464331571647e-64	141.946040132952
CDH3	2.44612614549638	8.04187529710145	20.9194667207058	6.72931353733755e-67	2.06335989236363e-64	141.676941330472
CXCL3	1.71917026708032	8.07594435024155	20.7648804349725	3.26272465362824e-66	9.81898858261344e-64	140.106336112683
CDK20	-0.791774448898499	6.37518603623188	-20.684117362376	7.44430341877493e-66	2.19958863379112e-63	139.285662447038
RNF135	-0.618471164110428	8.28621455555556	-20.6680837021706	8.76896864547016e-66	2.54472338317028e-63	139.122728477109
ARHGEF3	0.903636423522035	7.70142319565217	20.6520510068958	1.03292718626654e-65	2.94492977263465e-63	138.959801892916
ASB13	-0.986039126533743	7.67518510628019	-20.4946965548295	5.15395897574127e-65	1.44408598818571e-62	137.360635049048
WSCD1	-1.21864407013384	6.63880554347826	-20.4868055132585	5.586627766505e-65	1.53878453955038e-62	137.280435500556
USP30	-0.910973876812611	8.17837193478261	-20.4024949535157	1.32191204668559e-64	3.58039877844792e-62	136.423539020463
PLA2G12B	-1.59442871228388	5.96692793236715	-20.3943427865216	1.43671652586827e-64	3.82755414129267e-62	136.340682505473
CNTFR	-1.34117228520636	6.54197400724638	-20.3096501050593	3.41293931488895e-64	8.94575432359036e-62	135.479879363743
NMT2	-0.694770241564413	7.14490151449275	-20.2639910959167	5.441339716306e-64	1.40360653539189e-61	135.015805200099
STBD1	-0.985250291411039	6.55981289130435	-20.2562591665497	5.88857758268351e-64	1.49523866087796e-61	134.937218566023
AQP11	-1.26239198424427	6.58217370289855	-20.2503811941918	6.25301433181469e-64	1.56334978317416e-61	134.877475407294
MSI2	0.676514914319581	7.39010572222222	20.2242032183784	8.17022565223515e-64	2.01173237991626e-61	134.611405303764
IRAK3	1.75039800585611	7.45662995652174	20.2226529725995	8.30064923477165e-64	2.01334105543693e-61	134.595648799665
NCKAP5	-0.982776132320133	5.53012498309179	-20.2050466199911	9.93633995486385e-64	2.37463912656606e-61	134.416700300459
MOCS1	-0.872550699735072	6.30007004830918	-20.1990404602523	1.05651095791121e-63	2.4883129821761e-61	134.355654661648
