ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046651	lymphocyte proliferation	40/632	300/18805	0.133333333333333	3.96729957805907	9.66157266523307	9.44333904047848e-14	1.2976258822681e-11	9.38486635292134e-12	CD55/ANXA1/IDO1/MSN/LYN/IL1B/RAC2/VCAM1/CTLA4/FYN/GPR183/PLA2G2A/CD38/LILRB2/FCGR3A/LILRB1/GJA1/PTPRC/IL1A/CD79A/TNFRSF9/SLAMF1/IL7R/CD86/MNDA/IL2RA/CR1/CD180/CD274/BCL6/BTK/CORO1A/FCGR2B/HHLA2/IL6/FCRL3/CCL19/MS4A1/CD22/CR2	40
BP	GO:0070661	leukocyte proliferation	43/632	344/18805	0.125	3.71934335443038	9.49261798902399	1.07133280079435e-13	1.43007624151748e-11	1.03427918512778e-11	CD55/ANXA1/IDO1/MSN/LYN/IL1B/IL33/RAC2/VCAM1/CTLA4/FYN/GPR183/PLA2G2A/CD38/CSF2RB/LILRB2/FCGR3A/LILRB1/GJA1/PTPRC/IL1A/CD79A/TNFRSF9/SLAMF1/IL7R/CD86/MNDA/IL2RA/GREM1/CR1/CD180/CD274/BCL6/BTK/CORO1A/FCGR2B/HHLA2/IL6/FCRL3/CCL19/MS4A1/CD22/CR2	43
BP	GO:0046942	carboxylic acid transport	44/632	360/18805	0.122222222222222	3.63669127988748	9.41979714974127	1.22403426453984e-13	1.58852446775837e-11	1.14887426584002e-11	SLC6A14/SLC23A1/ABCG2/ABCB1/SLC38A4/SLC36A1/PLA2G12B/SLC25A20/CPT1A/ANXA1/SLC16A1/SLC3A1/CROT/SLC26A2/SLC5A12/LYN/SLC7A11/IL1B/CYP4F2/SLC7A5/NOS2/PPARG/SLC10A2/PLA2G2A/RBP2/CLDN2/SLC6A6/AQP9/SLC16A9/RGS2/SLC16A14/SLC6A20/GJA1/SLC13A2/IL1A/ACSL4/PTGS2/SLCO1B3/KMO/FABP1/SLC16A4/FABP2/SLC26A3/NMUR2	44
BP	GO:0015849	organic acid transport	44/632	361/18805	0.121883656509695	3.62661734282408	9.39708594178161	1.35077895297114e-13	1.70563223467058e-11	1.23357053742172e-11	SLC6A14/SLC23A1/ABCG2/ABCB1/SLC38A4/SLC36A1/PLA2G12B/SLC25A20/CPT1A/ANXA1/SLC16A1/SLC3A1/CROT/SLC26A2/SLC5A12/LYN/SLC7A11/IL1B/CYP4F2/SLC7A5/NOS2/PPARG/SLC10A2/PLA2G2A/RBP2/CLDN2/SLC6A6/AQP9/SLC16A9/RGS2/SLC16A14/SLC6A20/GJA1/SLC13A2/IL1A/ACSL4/PTGS2/SLCO1B3/KMO/FABP1/SLC16A4/FABP2/SLC26A3/NMUR2	44
BP	GO:0015711	organic anion transport	51/632	469/18805	0.108742004264392	3.23559080726566	9.14316976255555	1.39388355024822e-13	1.71374314388412e-11	1.23943661947279e-11	SLC6A14/SLC23A1/ABCG2/ABCB1/SLC38A4/SLC36A1/PLA2G12B/SLC25A20/CPT1A/SLC17A4/ANXA1/SLC16A1/SLC3A1/CROT/SLC26A2/SLC5A12/LYN/SLC7A11/IL1B/CYP4F2/SLC7A5/NOS2/SLC39A5/PPARG/SLC10A2/PLA2G2A/RBP2/CLDN2/SLC6A6/SLC2A3/AQP9/SLC16A9/RGS2/SLC16A14/SLC6A20/GJA1/SLC13A2/IL1A/ACSL4/SLC4A4/PTGS2/CR1/SLCO1B3/KMO/BEST2/BEST4/FABP1/SLC16A4/FABP2/SLC26A3/NMUR2	51
BP	GO:0002366	leukocyte activation involved in immune response	41/632	319/18805	0.128526645768025	3.82427780643625	9.4874964757712	1.60101317928896e-13	1.91793168554822e-11	1.38711263306817e-11	ANXA1/ZC3H12A/LYN/PCK1/IL33/RAC2/SOCS3/HLA-DRA/ST3GAL1/ICAM1/GPR183/DYSF/ICOS/ITGB2/FGR/POU2AF1/FCGR3A/LILRB1/PTPRC/SLAMF1/CD86/PTGDS/CCR6/LCP1/SLAMF6/CR1/IL13RA2/CD180/PTGDR/BCL6/BTK/CLEC4E/IRF4/CCL3/IFNG/CORO1A/FCGR2B/FCER1G/IL6/CCL19/CD177	41
BP	GO:0050863	regulation of T cell activation	46/632	395/18805	0.116455696202532	3.46510975805159	9.23375317804779	1.96865916126894e-13	2.29939390036212e-11	1.66299892307192e-11	CD55/ANXA1/VNN1/HLA-DMA/IDO1/ZC3H12A/LYN/PCK1/IL1B/THY1/RAC2/VCAM1/HLA-DRA/PRDM1/CTLA4/FYN/LAX1/PLA2G2A/CCL2/ICOS/LILRB2/LILRB1/PTPRC/IL1A/TNFRSF9/SLAMF1/IL7R/CD86/RHOH/CD27/IL2RA/CAV1/LAPTM5/CR1/CD274/HLA-DOB/BCL6/IRF4/IFNG/CORO1A/HHLA2/IL6/CCR7/CCL19/HLA-DRB5/CCL21	46
BP	GO:0032943	mononuclear cell proliferation	40/632	308/18805	0.12987012987013	3.86425283577182	9.45162339953962	2.26468618628289e-13	2.58063752739357e-11	1.86640376327807e-11	CD55/ANXA1/IDO1/MSN/LYN/IL1B/RAC2/VCAM1/CTLA4/FYN/GPR183/PLA2G2A/CD38/LILRB2/FCGR3A/LILRB1/GJA1/PTPRC/IL1A/CD79A/TNFRSF9/SLAMF1/IL7R/CD86/MNDA/IL2RA/CR1/CD180/CD274/BCL6/BTK/CORO1A/FCGR2B/HHLA2/IL6/FCRL3/CCL19/MS4A1/CD22/CR2	40
BP	GO:0002263	cell activation involved in immune response	41/632	323/18805	0.126934984520124	3.77691832895717	9.38772226093006	2.43605471856355e-13	2.70982086788783e-11	1.95983349538571e-11	ANXA1/ZC3H12A/LYN/PCK1/IL33/RAC2/SOCS3/HLA-DRA/ST3GAL1/ICAM1/GPR183/DYSF/ICOS/ITGB2/FGR/POU2AF1/FCGR3A/LILRB1/PTPRC/SLAMF1/CD86/PTGDS/CCR6/LCP1/SLAMF6/CR1/IL13RA2/CD180/PTGDR/BCL6/BTK/CLEC4E/IRF4/CCL3/IFNG/CORO1A/FCGR2B/FCER1G/IL6/CCL19/CD177	41
BP	GO:0002443	leukocyte mediated immunity	51/632	483/18805	0.105590062111801	3.14180556647535	8.89277933786454	4.38492678336606e-13	4.76427393764796e-11	3.44568298031947e-11	CD55/C2/C4BPB/LYN/IL1B/C1R/RAC2/HLA-DRA/IGKC/NOS2/SERPING1/ICAM1/SERPINB9/GZMB/CFI/C3/CSF2RB/ITGB2/C4BPA/C4B/FGR/FCGR3A/LILRB1/CXCL6/PTPRC/C1S/SLAMF1/IL7R/PTGDS/CD27/CCR6/SLAMF7/SLAMF6/CR1/IL13RA2/CD274/PTGDR/BCL6/BTK/CCL3/TREM1/CORO1A/FCGR1A/FCGR2B/FCER1G/IL6/FCGR2A/SERPINB4/STAP1/CR2/CD177	51
