category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	27/433	193/9564	0.139896373056995	3.08999748710646	6.38724101680126	1.50597941445828e-07	4.18936091658393e-06	3.27136198164621e-06	CXCL1/CXCL3/CXCL2/STAT1/LYN/RAC2/CXCL9/CXCL11/CCL2/FGR/CXCL6/CXCL10/CXCR2/CCL18/CCR6/CXCR4/CCL4/CCL20/CCL3/CCL11/CCL3L3/CXCR1/CXCL5/CXCL13/CCR7/CCL19/CCL21	27
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	24/433	160/9564	0.15	3.31316397228637	6.42527847977812	2.00727645121731e-07	5.06007527786662e-06	3.9512799727407e-06	CDH3/PECAM1/HLA-DMA/SELP/VCAM1/HLA-DRA/CTLA4/ICAM1/CDH5/CLDN2/CLDN1/CD34/ICOS/ITGB2/PTPRC/SELL/CD86/VCAN/CD274/HLA-DOB/SELE/CLDN8/HLA-DRB5/CD22	24
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	13/433	50/9564	0.26	5.74281755196305	7.32186474005706	2.14970518340739e-07	5.06007527786662e-06	3.9512799727407e-06	PECAM1/SELP/IL1B/VCAM1/ICAM1/CCL2/ITGB2/CR1/HGF/IFNG/SELE/THBS2/IL6	13
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	20/433	119/9564	0.168067226890756	3.71222854037689	6.48306888121046	3.2643308777941e-07	7.13489463289282e-06	5.57145194931775e-06	CXCL1/CXCL3/CXCL2/MMP3/IL1B/SOCS3/VCAM1/MMP9/ICAM1/CREB3L3/BIRC3/CCL2/CXCL6/CXCL10/CCL20/PTGS2/SELE/FOS/CXCL5/IL6	20
NA	NA	hsa04518	Integrin signaling	22/433	154/9564	0.142857142857143	3.15539425932036	5.87183881144174	1.51941229326559e-06	3.09960107826181e-05	2.42039712681607e-05	CHAD/COL6A3/ITGA5/RAC2/COL4A1/VCAM1/COL1A2/ICAM1/LAMC1/TNC/C3/FBN1/COL1A1/ITGB2/ITGAX/VWF/KDR/PDGFRB/HGF/SPP1/THBS2/FN1	22
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	17/433	101/9564	0.168316831683168	3.71774175108042	5.97910675618461	2.45828510555485e-06	4.70147026437366e-05	3.67125473000626e-05	PLCD1/STAT1/IL1B/COL4A1/VCAM1/COL1A2/ICAM1/CCL2/COL1A1/PLCE1/IL1A/COL3A1/EGR1/SERPINE1/SELE/FN1/IL6	17
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	20/433	143/9564	0.13986013986014	3.08919717695699	5.48126503321859	6.33307584867782e-06	0.000109528105869733	8.5527623090572e-05	CTSK/STAT1/IL1B/SOCS3/PPARG/FYN/NCF2/LILRB2/FCGR3A/LILRB1/LCP2/IL1A/BTK/IFNG/FCGR1A/FOS/FCGR2B/FCGR2A/LILRA3/FOSB	20
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	14/433	76/9564	0.184210526315789	4.06879786070256	5.84883804066034	6.44282975704309e-06	0.000109528105869733	8.5527623090572e-05	AQP7/ACOX1/CPT1A/PCK2/HMGCS2/CYP27A1/ACOX2/PCK1/PPARG/MMP1/ME1/ACSL4/FABP1/FABP2	14
Organismal Systems	Digestive system	hsa04976	Bile secretion	15/433	90/9564	0.166666666666667	3.68129330254042	5.56519956591969	1.08804187067485e-05	0.000175232006540265	0.000136834074594566	ABCG2/ABCB1/UGT2A3/AQP8/UGT1A1/SLC10A2/AQP9/NR1H4/SLC4A4/SLCO1B3/CYP3A4/CA2/SLC5A1/UGT2B15/UGT2B17	15
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	16/433	105/9564	0.152380952380952	3.36575387660838	5.30790879561256	1.80235812797083e-05	0.000262629327218606	0.000205080348395678	CXCL1/CXCL3/CXCL2/LYN/IL1B/VCAM1/ICAM1/PLAU/BIRC3/BCL2A1/LY96/CCL4/PTGS2/BTK/CCL19/CCL21	16
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	16/433	105/9564	0.152380952380952	3.36575387660838	5.30790879561256	1.80235812797083e-05	0.000262629327218606	0.000205080348395678	SLC36A1/MEP1B/SLC3A1/COL6A3/COL4A1/CPA2/COL1A2/MEP1A/COL1A1/XPNPEP2/COL15A1/COL5A2/SLC6A19/COL3A1/COL12A1/MME	16
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	10/433	45/9564	0.222222222222222	4.90839107005389	5.72256139165016	2.49714152834914e-05	0.000347329685306745	0.000271220634897252	HLA-DMA/IL1B/HLA-DRA/GZMB/IL1A/CD86/HLA-DOB/IFNG/IL6/HLA-DRB5	10
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	21/433	182/9564	0.115384615384615	2.54858767098952	4.59309715292564	7.25385402347521e-05	0.000965077970079745	0.00075360405644342	HLA-DMA/STAT1/IL1B/HLA-DRA/NOS2/C3/ITGB2/ITGAX/FCGR3A/IL1A/CR1/HLA-DOB/CLEC4E/IFNG/CORO1A/FCGR1A/FCGR2B/FCER1G/IL6/FCGR2A/HLA-DRB5	21
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	12/433	73/9564	0.164383561643836	3.63086462716315	4.91344161466699	9.48006420979247e-05	0.00120870818674854	0.000943848498080215	CYP2B6/UGT2A3/FMO4/UGT1A1/ADH6/MAOA/FMO5/ADH1C/GSTA1/CYP3A4/UGT2B15/UGT2B17	12
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	23/433	216/9564	0.106481481481481	2.35193738773415	4.3762886262426	0.000115875934322091	0.00141832143610239	0.00110752998278377	CXCL1/CYP2B6/CXCL3/CXCL2/VLDLR/MMP3/SELP/LYN/IL1B/VCAM1/MMP9/PPARG/ICAM1/NCF2/CCL2/MMP1/LY96/SOD2/CCL3/SELE/CCL3L3/FOS/IL6	23
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	9/433	44/9564	0.204545454545455	4.5179508712996	5.09306816668523	0.000126725070656338	0.00149145660080152	0.00116463931331939	HLA-DMA/IL1B/HLA-DRA/GZMB/IL1A/CD86/HLA-DOB/IFNG/HLA-DRB5	9
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	11/433	66/9564	0.166666666666667	3.68129330254042	4.759727211163	0.000162640720601504	0.00184326150015037	0.00143935452540122	UGT2A3/DHRS11/HSD17B2/HSD3B2/UGT1A1/SRD5A3/STS/CYP3A4/HSD11B2/UGT2B15/UGT2B17	11
