id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2869413_treat	0.0143942525722337	0.110470764482527	0.24358078514029	0.162777723886797	0	0	0.0326880018375916	0.0338455242786955	0	0.0139754025347849	0.0399846200243455	0	0	0.108092902455373	0.0309994017275873	0.0711723275815343	0	0.0493426644650603	0.0405938203959351	0.0480818086172444	0	0
GSM2869414_treat	0.0419077024765087	0.0478734960054219	0.251423091407745	0.0996898593941317	0	0.0938203212633943	0	0.0380411075954146	0	0	0.0653044283459212	0	0	0.111809880256009	0.0431246578074205	0.063003239237256	0	0.0255426397062585	0.0177627523984401	0.0472316534185963	0.0167385383140578	0.0367266323734245
GSM2869415_treat	0	0.00793586924820223	0.460652343703363	0.0203864254230053	0	0.143032019115079	0	0.0149991779838739	0	0	0.0481928229770515	0	0.0380215984582016	0.0539228721188235	0.0478888403859679	0.0222955165743796	0	0.0398021948674602	0.0138887049223386	0.0524130880460185	0.0297421033067999	0.00682642286943544
GSM2869416_treat	0.0252792879490994	0.101159589547423	0.189427872921669	0.123682976821203	0.0207362278969559	0.102335121500574	0.0292489715366402	0	0	0	0.0643167713342524	0	0	0.0822482095469051	0.0500631667530441	0.0422741390169636	0	0.0714875604269524	0	0.070563560142051	0	0.0271765446062666
GSM2869417_treat	0	0.0796131082231504	0.386073296009711	0.064644579254291	0.00857787129865043	0	0.0169208756834997	0.035361991047108	0	0	0.0254349687553787	0	0	0.0899551793454924	0.0893883771964616	0.0459994328901126	0	0.00724907897533787	0	0.0261583944718064	0	0.124622846849
GSM2869418_treat	0	0.053685668157227	0.28637265475374	0.0898361535572339	0	0.0831453332891268	0.00628417792007224	0.00632431583410672	0	0	0.0397456137650796	0	0.0507656958871897	0.0506319068444803	0.0913345529916243	0.0683151228584456	0	0.0183079156416941	0.00263371121264117	0.0901878980168107	0	0.0624292792705285
GSM2869419_treat	0.0180982919025635	0.214521600750804	0.0823649995668999	0.0963554505158476	0	0.0462127506966123	0.0184124179523623	0.0570129719503509	0.00866900537218208	0	0.114902884726938	0	0	0.08985662058839	0.0516217168664661	0.0439997560048914	0	0.0593961054796811	0.00712244636516364	0.0766241443826035	0	0.0148288368782437
GSM2869420_treat	0.0570924985613797	0.212698578454142	0.166749797560891	0.0527892238483097	0.0215426676651071	0	0.0239841161756105	0.0712207724261148	0	0	0.0391674872326168	0	0	0.145522649786922	0.0484549674341555	0.044545680504568	0	0.0324498898357572	0	0.0683914301471033	0	0.0153902403673225
GSM2869421_treat	0	0.0678767667607825	0.147191984798771	0.0637187629586986	0	0.0875648462852767	0.0361792922708409	0.0123384228020153	0	0	0.0447502912767564	0	0.0573428327293318	0.143501968101031	0.0863988425853931	0.0381577377776482	0	0.0346302222911102	0.128003594860862	0.018477914594226	0	0.0338665199072558
GSM2869422_treat	0.0135900735598058	0.129678536065967	0.170921052548977	0.141022972233767	0.00871496330553879	0	0.0433580837886158	0.0291920366533776	0.00221705812495542	0	0.0572296287293958	0	0	0.0907117768809301	0.0526478838958761	0.0675881248538876	0	0.0518413274025961	0	0.137944263796434	0	0.00334221815987655
GSM2869423_treat	0	0.163561079876857	0.346087392406878	0.0661953185062521	0	0.015370747154694	0.0235432385285204	0.0219240902247384	0	0	0.072969731407008	0	0	0.0789007966636093	0.0718064875770953	0.0645770982847594	0	0	0	0.0426304564941209	0	0.0324335628754671
GSM2869424_treat	0.102450702555905	0.121849865243638	0.0828797525663283	0.131914873699202	0	0.0683925875637955	0.0388586910580145	0	0.00743921453118449	0	0.0639631460351728	0	0	0.130283990751921	0.0524676186598905	0.0512615015601134	0	0.0421149541658849	0.0230415929963322	0.0582430350627535	0	0.0248384735498644
GSM2869425_treat	0	0	0.150276599602009	0.0379447024088016	0	0.0442418134689451	0	0.0327386907610118	0	0	0.0243446337947658	0.0209340962468726	0.0198705833891999	0.0245052424695574	0.0636009132739867	0.0642342128472682	0	0.180912787068045	0.0508926983231669	0	0	0.28550302634637
GSM2869426_treat	0	0.102844008746314	0.256334576401707	0.133070536989067	0	0	0.0357737042749117	0.0189034927558985	0.0108060624508629	0	0.0285657570038114	0	0.0273029741468881	0.101583061395266	0.0742067026456083	0.117979365200955	0	0.0196542796489792	0.0729754783397311	0	0	0
GSM2869427_treat	0.0472904932298268	0.147103983498985	0.162101030788113	0.210530221183823	0	0	0.0126039556595715	0.0482087845405952	0.0148811053825526	0	0.11717264318973	0	0.00490257242205866	0.0653212167356373	0.0325330720765232	0.0396562498159116	0	0.0299317825982305	0.02255627128652	0.0452066175919227	0	0
GSM2869428_treat	0	0.0414884818490704	0.322713289848112	0.095787099819331	0	0.091794612311634	0.0120700378478659	0	0.0208560888277058	0	0.0600550058546435	0	0.0474481102713648	0.0423345790846913	0.0520837424222523	0.0598797347699611	0	0.0203872012502626	0.0742064079733078	0.0305268787272845	0	0.0283687291425134
GSM2869429_treat	0	0.0571932477275893	0.316941299285849	0.0617896578452528	0	0.0906101970138511	0	0.0107099742975131	0	0	0.0528052879747378	0	0.0463893937021586	0.0446604841270794	0.0793702032532248	0.0469988643728002	0	0.0342596132438454	0.0745114986736779	0	0	0.0837602784824207
GSM2869430_treat	0	0	0.167080031214355	0.0924583331092444	0	0.0251649827397597	0.0198308718903687	0	0	0	0.0180615492868284	0.0263798403639642	0.00245715566667899	0.0901558569077669	0.0403554814495935	0.0613704389214323	0	0.0749240996191201	0.0620800383516714	0	0	0.319681320479217
