"workflow","selector","classifier","heldout_cohort","auc","n_selector_genes","n_model_genes","error"
"enet_075 + lda","enet_075","lda","GSE75214",0.985941893158388,10,10,""
"univ_top5 + lda","univ_top5","lda","GSE75214",0.985004686035614,5,5,""
"univ_top10 + lda","univ_top10","lda","GSE75214",0.994376757263355,10,10,""
"rf_top5 + lda","rf_top5","lda","GSE75214",0.975632614807873,5,5,""
"rf_top10 + lda","rf_top10","lda","GSE75214",0.982193064667292,10,10,""
"all + naive_bayes","all","naive_bayes","GSE75214",0.980318650421743,24,24,""
"lasso + naive_bayes","lasso","naive_bayes","GSE75214",0.968134957825679,6,6,""
"enet_025 + naive_bayes","enet_025","naive_bayes","GSE75214",0.977507029053421,9,9,""
"enet_050 + naive_bayes","enet_050","naive_bayes","GSE75214",0.98406747891284,13,13,""
"enet_075 + naive_bayes","enet_075","naive_bayes","GSE75214",0.98406747891284,10,10,""
"univ_top5 + naive_bayes","univ_top5","naive_bayes","GSE75214",0.974695407685098,5,5,""
"univ_top10 + naive_bayes","univ_top10","naive_bayes","GSE75214",0.982193064667292,10,10,""
"rf_top5 + naive_bayes","rf_top5","naive_bayes","GSE75214",0.966260543580131,5,5,""
"rf_top10 + naive_bayes","rf_top10","naive_bayes","GSE75214",0.979381443298969,10,10,""
"all + glmboost","all","glmboost","GSE75214",0.98406747891284,24,9,""
"lasso + glmboost","lasso","glmboost","GSE75214",0.982193064667292,6,7,""
"enet_025 + glmboost","enet_025","glmboost","GSE75214",0.978444236176195,9,9,""
"enet_050 + glmboost","enet_050","glmboost","GSE75214",0.98406747891284,13,9,""
"enet_075 + glmboost","enet_075","glmboost","GSE75214",0.98406747891284,10,9,""
"univ_top5 + glmboost","univ_top5","glmboost","GSE75214",0.98875351452671,5,5,""
"univ_top10 + glmboost","univ_top10","glmboost","GSE75214",0.990627928772259,10,7,""
"rf_top5 + glmboost","rf_top5","glmboost","GSE75214",0.974695407685098,5,6,""
"rf_top10 + glmboost","rf_top10","glmboost","GSE75214",0.978444236176195,10,8,""
"all + xgboost","all","xgboost","GSE75214",0.989690721649485,24,24,""
"lasso + xgboost","lasso","xgboost","GSE75214",0.985004686035614,6,6,""
"enet_025 + xgboost","enet_025","xgboost","GSE75214",0.987816307403936,9,9,""
"enet_050 + xgboost","enet_050","xgboost","GSE75214",0.989690721649485,13,13,""
"enet_075 + xgboost","enet_075","xgboost","GSE75214",0.992970946579194,10,10,""
"univ_top5 + xgboost","univ_top5","xgboost","GSE75214",0.98078725398313,5,5,""
"univ_top10 + xgboost","univ_top10","xgboost","GSE75214",0.985004686035614,10,10,""
"rf_top5 + xgboost","rf_top5","xgboost","GSE75214",0.98875351452671,5,5,""
"rf_top10 + xgboost","rf_top10","xgboost","GSE75214",0.985941893158388,10,10,""
"all + glmnet_0","all","glmnet_0","GSE87466",0.990695128626163,24,24,""
"lasso + glmnet_0","lasso","glmnet_0","GSE87466",0.992337164750958,12,12,""
"enet_025 + glmnet_0","enet_025","glmnet_0","GSE87466",0.990147783251232,19,19,""
"enet_050 + glmnet_0","enet_050","glmnet_0","GSE87466",0.991789819376026,16,16,""
"enet_075 + glmnet_0","enet_075","glmnet_0","GSE87466",0.992884510125889,6,6,""
"univ_top5 + glmnet_0","univ_top5","glmnet_0","GSE87466",0.969348659003831,5,5,""
"univ_top10 + glmnet_0","univ_top10","glmnet_0","GSE87466",0.983032293377121,10,10,""
"rf_top5 + glmnet_0","rf_top5","glmnet_0","GSE87466",0.987411056376574,5,5,""
"rf_top10 + glmnet_0","rf_top10","glmnet_0","GSE87466",0.992884510125889,10,10,""
"all + glmnet_0.25","all","glmnet_0.25","GSE87466",0.994526546250684,24,21,""
"lasso + glmnet_0.25","lasso","glmnet_0.25","GSE87466",0.990147783251232,12,12,""
"enet_025 + glmnet_0.25","enet_025","glmnet_0.25","GSE87466",0.993979200875753,19,18,""
"enet_050 + glmnet_0.25","enet_050","glmnet_0.25","GSE87466",0.994526546250684,16,15,""
"enet_075 + glmnet_0.25","enet_075","glmnet_0.25","GSE87466",0.991242474001095,6,6,""
"univ_top5 + glmnet_0.25","univ_top5","glmnet_0.25","GSE87466",0.967706622879037,5,5,""
"univ_top10 + glmnet_0.25","univ_top10","glmnet_0.25","GSE87466",0.984674329501916,10,8,""
"rf_top5 + glmnet_0.25","rf_top5","glmnet_0.25","GSE87466",0.984674329501916,5,5,""
"rf_top10 + glmnet_0.25","rf_top10","glmnet_0.25","GSE87466",0.991789819376026,10,9,""
"all + glmnet_0.5","all","glmnet_0.5","GSE87466",0.989053092501368,24,22,""
"lasso + glmnet_0.5","lasso","glmnet_0.5","GSE87466",0.991789819376026,12,12,""
"enet_025 + glmnet_0.5","enet_025","glmnet_0.5","GSE87466",0.991789819376026,19,17,""
"enet_050 + glmnet_0.5","enet_050","glmnet_0.5","GSE87466",0.994526546250684,16,16,""
"enet_075 + glmnet_0.5","enet_075","glmnet_0.5","GSE87466",0.990147783251232,6,6,""
"univ_top5 + glmnet_0.5","univ_top5","glmnet_0.5","GSE87466",0.972085385878489,5,5,""
"univ_top10 + glmnet_0.5","univ_top10","glmnet_0.5","GSE87466",0.984674329501916,10,8,""
"rf_top5 + glmnet_0.5","rf_top5","glmnet_0.5","GSE87466",0.984126984126984,5,5,""
"rf_top10 + glmnet_0.5","rf_top10","glmnet_0.5","GSE87466",0.992337164750958,10,9,""
"all + glmnet_0.75","all","glmnet_0.75","GSE87466",0.985769020251779,24,20,""
"lasso + glmnet_0.75","lasso","glmnet_0.75","GSE87466",0.991242474001095,12,12,""
"enet_025 + glmnet_0.75","enet_025","glmnet_0.75","GSE87466",0.98631636562671,19,18,""
"enet_050 + glmnet_0.75","enet_050","glmnet_0.75","GSE87466",0.987411056376574,16,16,""
"enet_075 + glmnet_0.75","enet_075","glmnet_0.75","GSE87466",0.987958401751505,6,6,""
"univ_top5 + glmnet_0.75","univ_top5","glmnet_0.75","GSE87466",0.964969896004379,5,5,""
"univ_top10 + glmnet_0.75","univ_top10","glmnet_0.75","GSE87466",0.984674329501916,10,8,""
"rf_top5 + glmnet_0.75","rf_top5","glmnet_0.75","GSE87466",0.983032293377121,5,4,""
"rf_top10 + glmnet_0.75","rf_top10","glmnet_0.75","GSE87466",0.992337164750958,10,9,""
"all + glmnet_1","all","glmnet_1","GSE87466",0.989053092501368,24,20,""
"lasso + glmnet_1","lasso","glmnet_1","GSE87466",0.991789819376026,12,12,""
"enet_025 + glmnet_1","enet_025","glmnet_1","GSE87466",0.989053092501368,19,15,""
"enet_050 + glmnet_1","enet_050","glmnet_1","GSE87466",0.990695128626163,16,16,""
"enet_075 + glmnet_1","enet_075","glmnet_1","GSE87466",0.989053092501368,6,6,""
"univ_top5 + glmnet_1","univ_top5","glmnet_1","GSE87466",0.963875205254516,5,4,""
"univ_top10 + glmnet_1","univ_top10","glmnet_1","GSE87466",0.985221674876847,10,7,""
"rf_top5 + glmnet_1","rf_top5","glmnet_1","GSE87466",0.981390257252326,5,4,""
"rf_top10 + glmnet_1","rf_top10","glmnet_1","GSE87466",0.992884510125889,10,9,""
"all + svm_linear","all","svm_linear","GSE87466",0.994526546250684,24,24,""
"lasso + svm_linear","lasso","svm_linear","GSE87466",0.992884510125889,12,12,""
"enet_025 + svm_linear","enet_025","svm_linear","GSE87466",0.993979200875753,19,19,""
"enet_050 + svm_linear","enet_050","svm_linear","GSE87466",0.992884510125889,16,16,""
"enet_075 + svm_linear","enet_075","svm_linear","GSE87466",0.990695128626163,6,6,""
"univ_top5 + svm_linear","univ_top5","svm_linear","GSE87466",0.969348659003831,5,5,""
"univ_top10 + svm_linear","univ_top10","svm_linear","GSE87466",0.983579638752053,10,10,""
"rf_top5 + svm_linear","rf_top5","svm_linear","GSE87466",0.979748221127531,5,5,""
"rf_top10 + svm_linear","rf_top10","svm_linear","GSE87466",0.991789819376026,10,10,""
"all + svm_radial","all","svm_radial","GSE87466",0.988505747126437,24,24,""
"lasso + svm_radial","lasso","svm_radial","GSE87466",0.986863711001642,12,12,""
"enet_025 + svm_radial","enet_025","svm_radial","GSE87466",0.986863711001642,19,19,""
"enet_050 + svm_radial","enet_050","svm_radial","GSE87466",0.9896004378763,16,16,""
"enet_075 + svm_radial","enet_075","svm_radial","GSE87466",0.978653530377668,6,6,""
"univ_top5 + svm_radial","univ_top5","svm_radial","GSE87466",0.938697318007663,5,5,""
"univ_top10 + svm_radial","univ_top10","svm_radial","GSE87466",0.977558839627805,10,10,""
"rf_top5 + svm_radial","rf_top5","svm_radial","GSE87466",0.873563218390805,5,5,""
"rf_top10 + svm_radial","rf_top10","svm_radial","GSE87466",0.980295566502463,10,10,""
"all + rf","all","rf","GSE87466",0.985769020251779,24,24,""
"lasso + rf","lasso","rf","GSE87466",0.980295566502463,12,12,""
"enet_025 + rf","enet_025","rf","GSE87466",0.981937602627258,19,19,""
