ID	T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
103	GSM2869349_treat	6.91749907142857	5.916247	6.02389357142857	8.62250455555556	5.78789442857143	7.92620328571429	6.5794522	6.94657123076923	6.60088228125	9.1421235
104	GSM2869350_treat	6.92307621428571	5.694689	5.92658414285714	8.150478	5.878218	7.67212642857143	5.980389	7.13849930769231	6.291629125	8.073666375
105	GSM2869351_treat	7.10321914285714	6.400765	6.37095042857143	7.20182811111111	5.998954	7.54064928571429	5.8980038	6.26741392307692	6.73048246875	9.373239375
106	GSM2869352_treat	7.56805914285714	6.173458	5.89932085714286	8.89839022222222	5.34368828571429	7.46393957142857	5.8176868	7.02793053846154	6.437005	8.583261125
107	GSM2869353_treat	7.70724685714286	6.078846	5.67301685714286	9.32697544444444	5.22697385714286	7.49677	5.9072114	7.03704484615385	6.5131889375	9.312693625
108	GSM2869354_treat	7.54611207142857	6.383579	6.13974071428571	9.04996533333333	5.65889	7.44828357142857	6.3240604	6.87601953846154	6.86551984375	9.356117
109	GSM2869355_treat	6.84288992857143	5.788339	5.70004685714286	7.74842466666667	5.81406842857143	6.92880857142857	5.5197362	6.78449453846154	6.41184928125	8.86134175
110	GSM2869356_treat	6.83619271428571	5.802288	5.86385585714286	8.49452455555556	5.65481857142857	7.60825785714286	5.9573304	7.16211807692308	7.04338109375	9.6423575
111	GSM2869357_treat	7.71778228571429	6.215641	5.76637971428571	9.41089288888889	5.17923128571429	7.505565	5.9075424	6.84724930769231	6.575438125	9.432230375
112	GSM2869358_treat	7.212152	6.213903	6.04115471428571	7.98842266666667	5.752951	6.77569842857143	5.8554528	6.38589015384615	6.7587976875	9.841784875
113	GSM2869359_treat	6.82991842857143	5.532081	5.71146471428571	7.65970966666667	5.70563657142857	6.45610857142857	5.3764788	6.73136961538462	6.53493825	8.217474375
114	GSM2869360_treat	7.41741357142857	6.109641	5.981978	8.23684311111111	5.72274114285714	6.931192	5.9491826	6.77839123076923	6.5330965	8.31547725
115	GSM2869361_treat	6.92605671428571	5.803303	5.88706442857143	8.08543211111111	5.73101628571429	6.83199571428571	5.630648	6.866151	6.42885240625	8.451558375
116	GSM2869362_treat	6.45890321428571	6.000463	5.87484371428571	6.10453522222222	5.75055271428571	6.88177942857143	5.2406926	6.60276023076923	6.9472009375	9.640712875
117	GSM2869363_treat	6.74763064285714	6.119864	5.76039914285714	6.72137722222222	5.69677785714286	6.98972914285714	5.4697824	6.18810338461538	6.920015125	9.5864445
118	GSM2869364_treat	7.16601392857143	5.760839	5.88542471428571	7.68246355555556	5.80141385714286	7.53887928571429	5.7634038	7.66594092307692	6.91134740625	8.5678785
119	GSM2869365_treat	6.76783357142857	5.625596	5.76471614285714	8.09572966666667	5.70457685714286	7.60416957142857	5.7735568	7.49528746153846	7.02425034375	9.14733825
120	GSM2869366_treat	6.88308807142857	5.691935	5.84334785714286	8.19183111111111	5.76947714285714	7.27328457142857	5.8580102	6.86600315384615	6.4410181875	8.644277
121	GSM2869367_treat	7.62673878571429	6.081093	5.65686057142857	9.35688833333333	5.21592242857143	7.38102057142857	5.9913522	6.61028984615385	6.772605625	9.591596875
122	GSM2869368_treat	7.11140585714286	5.774941	5.74416557142857	7.53564611111111	5.81263085714286	7.43880057142857	5.7698784	7.86613184615385	6.90815925	8.361698625
123	GSM2869391_treat	6.88551642857143	5.729753	5.69894028571429	7.79114088888889	5.39222071428571	7.54338228571429	5.6376288	7.28307538461538	7.00254409375	9.193643875
124	GSM2869392_treat	6.57177235714286	5.29829	5.66473285714286	6.71249188888889	5.78135671428571	6.872382	5.173223	6.915969	6.76299421875	7.8809875
125	GSM2869393_treat	7.67133407142857	6.499103	6.00629685714286	8.532095	5.28661185714286	7.790982	6.0690494	7.17937323076923	6.73865384375	9.228768375
126	GSM2869394_treat	6.74709264285714	5.5825	5.65737314285714	7.75590766666667	5.65666842857143	6.85003814285714	5.9260202	7.01272253846154	6.64619153125	8.60724575
